,date,change_idx,log_num,pdf_page,call_datetime,disp_datetime,enrt_datetime,arvd_datetime,clrd_datetime,call_reason,call_type,call_action,call_taker,responding_units,street
88,2019-01-03,4112,19-116,18,2019-01-03 15:20:00,,,2019-01-03 15:22:13,2019-01-03 15:26:55,PARKING CHECK,Initiated,SERVICES RENDERED,SERGEANT DAVID R LEMIEUX,31,PARK STREET
89,2019-01-03,4133,19-117,18,2019-01-03 17:16:00,,,2019-01-03 17:16:39,2019-01-03 17:21:19,PARKING CHECK,Initiated,SERVICES RENDERED,PATROL SHUAN N WILLIAM,32,SCHOOL STREET
90,2019-01-03,4162,19-118,18,2019-01-03 17:29:00,,,,,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,SERGEANT DAVID R LEMIEUX,31,SIMONDS ROAD
91,2019-01-03,4190,19-121,19,2019-01-03 18:39:00,,,2019-01-03 18:40:41,2019-01-03 18:43:03,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,SERGEANT DAVID R LEMIEUX,31,MAIN STREET
92,2019-01-03,4221,19-125,19,2019-01-03 19:45:00,,,,2019-01-03 19:49:03,SUSPICIOUS MOTOR VEHICLE,Initiated,LOG ENTRY REQUEST,PATROL KEVIN P GARNER,34,N HOOSAC ROAD
93,2019-01-03,4319,19-126,19,2019-01-03 20:44:00,,,2019-01-03 20:48:57,2019-01-03 20:49:39,SUSPICIOUS MOTOR VEHICLE,Initiated,LOG ENTRY REQUEST,PATROL KEVIN P GARNER,34,WILLIAMSTOWN ROAD
94,2019-01-03,4406,19-129,19,2019-01-03 22:34:00,2019-01-03 22:34:30,2019-01-03 22:34:36,2019-01-03 22:39:48,2019-01-03 22:57:19,WELL BEING CHECK,Phone,SERVICES RENDERED,DISPATCHER WILLIAM C JENNINGS JR,31,TORREY WOODS ROAD
95,2019-01-04,4471,19-131,20,2019-01-04 00:13:00,,,2019-01-04 00:13:53,2019-01-04 00:20:16,MOTOR VEHICLE STOP,Initiated,CITATION - WARNING,PATROLMAN SCOTT SKORUPSKI,32,WATER STREET
96,2019-01-04,4540,19-132,20,2019-01-04 00:51:00,,,,,9-1-1 HANG UP CALL,911,SERVICES RENDERED,PATROL KALVIN DZIEDZIAK,,MAIN STREET
97,2019-01-04,4634,19-134,20,2019-01-04 05:13:00,,,,2019-01-04 05:13:28,PARKING CHECK,Initiated,SERVICES RENDERED,PATROLMAN SCOTT SKORUPSKI,32,NORTH STREET
98,2019-01-04,4656,19-135,20,2019-01-04 06:55:00,,,2019-01-04 06:55:39,2019-01-04 07:33:12,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,PATROLMAN MICHAEL J ZIEMBA Jr,37k,COLD SPRING ROAD
99,2019-01-04,4681,19-136,20,2019-01-04 07:37:00,2019-01-04 15:10:39,2019-01-04 15:10:45,2019-01-04 15:11:39,2019-01-04 15:23:41,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,PATROLMAN MICHAEL J ZIEMBA Jr,"37k, 31",GALE ROAD
100,2019-01-04,4709,19-137,20,2019-01-04 08:15:00,,,,2019-01-04 08:36:52,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,PATROLMAN MICHAEL J ZIEMBA Jr,37k,CHURCH STREET
101,2019-01-04,4733,19-138,20,2019-01-04 08:20:00,2019-01-04 15:07:52,2019-01-04 15:07:57,2019-01-04 15:12:56,2019-01-04 15:25:05,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,SERGEANT SCOTT E MCGOWAN,"30, 38",COLE AVENUE
102,2019-01-04,4760,19-140,20,2019-01-04 09:04:00,,,2019-01-04 09:04:24,2019-01-04 09:05:07,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,SERGEANT PAUL D THOMPSON,37k,N HOOSAC ROAD
103,2019-01-04,4801,19-141,21,2019-01-04 09:07:00,,,2019-01-04 09:07:18,2019-01-04 09:07:30,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROLMAN MICHAEL J ZIEMBA Jr,37k,N HOOSAC ROAD
104,2019-01-04,4829,19-142,21,2019-01-04 09:11:00,,,2019-01-04 09:12:18,2019-01-04 09:16:35,SUSPICIOUS ACTIVITY,Initiated,SERVICES RENDERED,SERGEANT SCOTT E MCGOWAN,30,MAIN STREET
105,2019-01-04,4856,19-143,21,2019-01-04 09:15:00,,,2019-01-04 09:15:27,2019-01-04 09:15:42,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROLMAN MICHAEL J ZIEMBA Jr,37k,LONGVIEW TERRACE
106,2019-01-04,4883,19-144,21,2019-01-04 09:19:00,,,2019-01-04 09:19:46,2019-01-04 09:19:54,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROLMAN MICHAEL J ZIEMBA Jr,37k,FRENIER AVENUE
107,2019-01-04,4910,19-145,22,2019-01-04 09:20:00,,,2019-01-04 09:20:39,2019-01-04 09:20:49,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROLMAN MICHAEL J ZIEMBA Jr,37k,HARWOOD STREET
108,2019-01-04,4937,19-148,22,2019-01-04 10:43:00,,2019-01-04 10:51:16,,2019-01-04 11:11:18,ASSIST OTHER AGENCY,Phone,UNABLE TO LOCATE,"PATROL DAVID JENNINGS, D","30, 37k",SAND SPRINGS ROAD
109,2019-01-04,5021,19-147,22,2019-01-04 10:45:00,,,2019-01-04 10:45:44,2019-01-04 10:46:21,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROLMAN MICHAEL J ZIEMBA Jr,37k,CHURCH STREET
110,2019-01-04,5047,19-149,22,2019-01-04 11:19:00,,,2019-01-04 11:19:28,2019-01-04 11:23:28,PARKING CHECK,Initiated,SERVICES RENDERED,PATROLMAN MICHAEL J ZIEMBA Jr,37k,PARK STREET
111,2019-01-04,5069,19-150,22,2019-01-04 11:24:00,,,2019-01-04 11:25:05,2019-01-04 11:30:13,PARKING CHECK,Initiated,SERVICES RENDERED,PATROLMAN MICHAEL J ZIEMBA Jr,37k,SPRING STREET
112,2019-01-04,5091,19-153,22,2019-01-04 12:58:00,2019-01-04 13:01:24,,2019-01-04 13:01:31,2019-01-04 13:08:33,LICENSE TO CARRY,Walk-In,CRIMINAL COMPLAINT,"PATROL DAVID JENNINGS, D","30, 37k, 34",NORTH STREET
113,2019-01-04,5219,19-154,23,2019-01-04 13:29:00,,,2019-01-04 13:29:19,2019-01-04 13:30:07,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROLMAN MICHAEL J ZIEMBA Jr,37k,COLD SPRING ROAD
114,2019-01-04,5244,19-155,23,2019-01-04 13:33:00,,,2019-01-04 13:33:17,2019-01-04 13:33:40,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROLMAN MICHAEL J ZIEMBA Jr,37k,COLD SPRING ROAD
115,2019-01-04,5274,19-156,23,2019-01-04 13:35:00,,,,,9-1-1 WRONG NUMBER,911,SERVICES RENDERED,"PATROL DAVID JENNINGS, D",,SAND SPRINGS ROAD
116,2019-01-04,5291,19-157,23,2019-01-04 13:37:00,,,2019-01-04 13:37:44,2019-01-04 13:37:52,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROLMAN MICHAEL J ZIEMBA Jr,37k,HAWTHORNE ROAD
