,date,change_idx,log_num,pdf_page,call_datetime,disp_datetime,enrt_datetime,arvd_datetime,clrd_datetime,call_reason,call_type,call_action,call_taker,responding_units,street,narrative
13,2020-01-01,618,20-17,4,2020-01-01 09:34:00,2020-01-01 09:35:47,2020-01-01 09:36:24,2020-01-01 09:41:39,2020-01-01 09:45:01,ALARM,911,ALARM FALSE,"PATROL DAVID JENNINGS, D",30,HOLLY LANE,"Narrative: Garage interior door. Narrative: Homeowner on scene, false alarm, set off by friend at the residence."
14,2020-01-01,661,20-18,4,2020-01-01 09:50:00,,,2020-01-01 09:51:00,2020-01-01 09:51:12,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,SERGEANT SCOTT E MCGOWAN,30,BRYANT STREET,Narrative: checked NarraLlive: done Narrative: Checked 0048
15,2020-01-01,689,20-19,4,2020-01-01 09:55:00,,,2020-01-01 09:56:20,2020-01-01 09:56:59,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,SERGEANT SCOTT E MCGOWAN,30,HAWTHORNE ROAD,Narrative: checked Narrative: Checked
16,2020-01-01,714,20-20,4,2020-01-01 09:59:00,,,2020-01-01 10:00:00,2020-01-01 10:00:23,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,SERGEANT SCOTT E MCGOWAN,30,COLD SPRING ROAD,Narrative: checked Narrative: done Narrative: Checked
17,2020-01-01,742,20-21,5,2020-01-01 11:33:00,2020-01-01 11:35:45,2020-01-01 11:37:48,2020-01-01 11:41:35,2020-01-01 11:53:30,ASSIST OTHER AGENCY,Phone,TAKEN/REFERRED TO OTHER AGENCY,"PATROL DAVID JENNINGS, D",36,CHURCH STREET,Narrative: CP reports a water fountain on the Church St side is pouring out water. Assistant principle contacted and en route. Narrative: Water is coming out of the school. Unknown how to shut it off
18,2020-01-01,807,20-22,5,2020-01-01 12:13:00,2020-01-01 12:14:36,2020-01-01 12:15:10,2020-01-01 12:21:09,2020-01-01 12:25:42,SUSPICIOUS ACTIVITY,Phone,SERVICES RENDERED,"PATROL DAVID JENNINGS, D",36,STRATTON ROAD,Narrative: CP reports there ig a knife on the east side of Stratton Rd between Adams Rd and the Medical Associates driveway. 20-1-PR. Narrative: Knife found intersection picked near up.
19,2020-01-01,860,20-23,5,2020-01-01 14:09:00,,,2020-01-01 14:09:24,2020-01-01 14:17:31,MOTOR VEHICLE STOP,Initiated,CITATION - WARNING,CHIEF KYLE J JOHNSON,33,NEW ASHFORD ROAD,F
20,2020-01-01,935,20-24,5,2020-01-01 17:19:00,,,,2020-01-01 17:19:44,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL JOHN J MCCONNELL JR,38,SOUTHWORTH STREET,Narrative: done Narrative: Checked 0042
21,2020-01-01,962,20-25,5,2020-01-01 17:20:00,,,2020-01-01 17:20:57,2020-01-01 17:21:31,PARKING CHECK,Initiated,NO ACTION REQUIRED,PATROL JOHN J MCCONNELL JR,38,SCHOOL STREET,Narrative: checked
22,2020-01-01,987,20-26,6,2020-01-01 18:09:00,,,2020-01-01 18:09:13,2020-01-01 18:18:08,MOTOR VEHICLE STOP,Initiated,CITATION - WARNING,PATROL JOHN J MCCONNELL JR,38,COLE AVENUE,M
23,2020-01-01,1061,20-27,6,2020-01-01 18:58:00,,,2020-01-01 18:58:32,2020-01-01 19:05:56,MOTOR VEHICLE STOP,Initiated,CITATION - CIVIL,PATROL SHUAN N WILLIAM,32,MAIN STREET,M
24,2020-01-01,1134,20-28,6,2020-01-01 19:11:00,,,2020-01-01 19:11:51,2020-01-01 19:23:23,MOTOR VEHICLE STOP,Initiated,CITATION - WARNING,PATROL JOHN J MCCONNELL JR,38,N HOOSAC ROAD,M
25,2020-01-01,1208,20-29,6,2020-01-01 19:22:00,,,2020-01-01 19:22:11,2020-01-01 19:28:30,MOTOR VEHICLE STOP,Initiated,CITATION - WARNING,PATROL SHUAN N WILLIAM,32,NEW ASHFORD ROAD,F
26,2020-01-01,1283,20-30,6,2020-01-01 19:47:00,,,,,MOTOR VEHICLE STOP,Initiated,NO ACTION REQUIRED,PATROL SHUAN N WILLIAM,32,ADAMS ROAD,"Narrative: RO of vehicle, who was operating same, had an Expired MA License (11/21/2019). RO has just moved back from NC and has valid NC license. RO will a go to RMV to get a new MA license."
27,2020-01-01,1387,20-31,7,2020-01-01 21:00:00,,,,2020-01-01 21:05:06,MOTOR VEHICLE STOP,Initiated,CITATION,PATROL KEVIN P GARNER,34,HANCOCK ROAD,F
28,2020-01-01,1462,20-32,7,2020-01-01 21:51:00,,,,2020-01-01 21:57:05,MOTOR VEHICLE STOP,Initiated,CITATION - WARNING,PATROL KEVIN P GARNER,34,NEW ASHFORD ROAD,M
29,2020-01-01,1533,20-33,7,2020-01-01 22:28:00,2020-01-01 22:30:33,2020-01-01 22:31:02,2020-01-01 22:36:43,2020-01-01 22:43:02,ANIMAL CONTROL,Phone,SERVICES RENDERED,DISPATCHER LAURIE TUPER,34,HENDERSON ROAD,"Narrative: Reports a deer with broken leg headed into the field just a below his home. Narrative: Saw one deer, walking fine. No sign of car/deer accident. Spoke with RP, advised him that as long as there was no roadside, things hazard nature would handle"
30,2020-01-01,1600,20-34,7,2020-01-01 23:23:00,,,,2020-01-01 23:30:56,MOTOR VEHICLE STOP,Initiated,CITATION - WARNING,PATROL KALVIN DZIEDZIAK,30,MAIN STREET,F
31,2020-01-01,1671,20-35,7,2020-01-01 23:51:00,,,,,MOTOR VEHICLE STOP,Initiated,CITATION - WARNING,PATROL KALVIN DZIEDZIAK,30,MAIN STREET,-
32,2020-01-02,1754,20-36,8,2020-01-02 04:01:00,,,2020-01-02 04:01:05,2020-01-02 04:01:18,PARKING CHECK,Initiated,SERVICES RENDERED,PATROL CRAIG A EICHHAMMER,31,SIMONDS ROAD,8
33,2020-01-02,1777,20-37,8,2020-01-02 07:12:00,2020-01-02 14:15:51,2020-01-02 14:17:34,,2020-01-02 14:46:02,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,SERGEANT SCOTT E MCGOWAN,"30, 30",COLD SPRING ROAD,2
34,2020-01-02,1805,20-38,8,2020-01-02 07:19:00,,,,,ASSIST OTHER AGENCY,Phone,LOG ENTRY REQUEST,"PATROL DAVID JENNINGS, D",,STETSON ROAD,Narrative: Working on sprinkle system. Narrative: System will remain out of service until further notice. Estimated to be back in service at some point tomorrow (01/03/2020). CP will call back to advise.
35,2020-01-02,1860,20-39,8,2020-01-02 07:35:00,,,2020-01-02 07:35:30,2020-01-02 07:35:39,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,SERGEANT SCOTT E MCGOWAN,30,COLD SPRING ROAD,Narrative: checked Narrative: done Narrative: Checked 0229
36,2020-01-02,1889,20-40,8,2020-01-02 07:43:00,2020-01-02 15:02:51,2020-01-02 15:05:56,2020-01-02 15:07:19,2020-01-02 07:57:44,TRAFFIC COMPLAINT,Initiated,SERVICES RENDERED,SERGEANT SCOTT E MCGOWAN,"30, 38",GALE ROAD,4
37,2020-01-02,1917,20-41,8,2020-01-02 07:49:00,,,2020-01-02 07:49:00,2020-01-02 07:55:28,MOTOR VEHICLE STOP,Initiated,CITATION,MICHAEL STRIZZI,36,HARRISON AVENUE,M
38,2020-01-02,1990,20-42,9,2020-01-02 08:02:00,,,2020-01-02 08:25:07,2020-01-02 08:47:30,MOTOR VEHICLE STOP,Initiated,SERVICES RENDERED,PATROL TANIA HERNANDEZ,"36, 30",SUMMER STREET,Narrative: 0826 Ron's notified and enroute. 0838 Transporting to the station 57394. 0842 Arrived 57396. Narrative: done. Plates taken and Vehicle Towed by Ron's and inventory #20-2-PR. tagged with Property RJ Taxi called for a ride home. Initiated TRAFFIC CONTROL SERVICES RENDERED
39,2020-01-02,2105,20-43,9,2020-01-02 08:10:00,,,2020-01-02 08:10:33,2020-01-02 08:22:46,ASSIST OTHER AGENCY,911,CITATION - WARNING,SERGEANT SCOTT E MCGOWAN,30,COLE AVENUE,G
40,2020-01-02,2127,20-44,9,2020-01-02 08:13:00,,,2020-01-02 08:13:33,2020-01-02 08:19:11,LICENSE TO CARRY,Initiated,CITATION,CHIEF KYLE J JOHNSON,33,SCHOOL STREET,M
41,2020-01-02,2198,20-45,9,2020-01-02 08:21:00,2020-01-02 14:59:03,2020-01-02 15:00:44,2020-01-02 15:02:19,2020-01-02 15:15:51,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,CHIEF KYLE J JOHNSON,"33, 32",CHURCH STREET,D
42,2020-01-02,2229,20-46,9,2020-01-02 08:53:00,,,2020-01-02 08:53:17,,DISABLED M V,Initiated,NO ACTION REQUIRED,PATROLMAN MICHAEL J ZIEMBA Jr,33,COLE AVENUE,Narrative: 0854 Ron's notified.
43,2020-01-02,2292,20-49,10,2020-01-02 10:21:00,,,2020-01-02 10:21:51,,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,N HOOSAC ROAD,Narrative: checked Narrative: done Narrative: CHECKED Narrative: 01/03/2020 Checked 0045 $3 Narrative: 01/03/2020 0259 Checked $3
44,2020-01-02,2331,20-50,10,2020-01-02 10:24:00,,,2020-01-02 10:24:46,,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,N HOOSAC ROAD,Narrative: checked Narrative: 01/03/2020 0043 Checked $3
45,2020-01-02,2359,20-51,10,2020-01-02 10:25:00,,,2020-01-02 10:25:13,2020-01-02 10:25:52,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,SERGEANT SCOTT E MCGOWAN,30,LONGVIEW TERRACE,Narrative: checked Narrative: done Narrative: Checked 0206
46,2020-01-02,2387,20-52,10,2020-01-02 10:26:00,,,,,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,SERGEANT SCOTT E MCGOWAN,,LONGVIEW TERRACE,Narrative: No MV's observed during the safety patrol. Narrative: checked
47,2020-01-02,2417,20-53,11,2020-01-02 10:28:00,,,2020-01-02 10:28:38,2020-01-02 10:29:18,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,ELM STREET,Narrative: checked Narrative: 01/03/2020 0039 Checked $3
48,2020-01-02,2444,20-54,11,2020-01-02 10:30:00,,,2020-01-02 10:30:43,2020-01-02 10:33:33,PARKING CHECK,Initiated,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,CHURCH STREET,Narrative: Checked.
49,2020-01-02,2468,20-55,11,2020-01-02 10:37:00,,,2020-01-02 10:37:35,2020-01-02 10:41:59,PARKING CHECK,Initiated,SERVICES RENDERED,PATROL TANIA HERNANDEZ,36,PARK STREET,9
50,2020-01-02,2488,20-56,11,2020-01-02 10:43:00,,,2020-01-02 10:43:26,2020-01-02 10:49:45,PARKING CHECK,Initiated,SERVICES RENDERED,PATROL TANIA HERNANDEZ,36,SAND SPRINGS ROAD,Narrative: 5 violations
51,2020-01-02,2512,20-57,11,2020-01-02 10:50:00,,,2020-01-02 10:50:35,2020-01-02 10:50:48,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,SERGEANT SCOTT E MCGOWAN,30,STRATTON ROAD,Narrative: checked Narrative: done Narrative: Checked 0158
52,2020-01-02,2540,20-58,11,2020-01-02 10:53:00,,,,2020-01-02 10:54:51,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,N HEMLOCK LANE,Narrative: checked Narrative: Checked 0223
53,2020-01-02,2566,20-59,12,2020-01-02 10:55:00,,,2020-01-02 10:55:52,2020-01-02 10:55:59,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,SERGEANT SCOTT E MCGOWAN,30,FRENIER AVENUE,Narrative: checked Narrative: Checked 0104
54,2020-01-02,2592,20-60,12,2020-01-02 10:56:00,,,2020-01-02 10:56:20,2020-01-02 10:56:26,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,SERGEANT SCOTT E MCGOWAN,30,HARWOOD STREET,Narrative: checked Narrative: Checked 0107
55,2020-01-02,2618,20-61,12,2020-01-02 11:07:00,,,2020-01-02 11:08:09,2020-01-02 11:10:06,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,SERGEANT SCOTT E MCGOWAN,30,COLD SPRING ROAD,6
56,2020-01-02,2642,20-62,12,2020-01-02 11:23:00,,,,,SUSPICIOUS ACTIVITY,Phone,SERVICES RENDERED,"PATROL DAVID JENNINGS, D",,WATER STREET,Narrative: CP reports her daughter's ex boyfriend from CA has contacted kill her. her stating the government told him in a dream to CP the party said he is his way to MA to find her. states on Narrative: Mother and daughter at station to drop off trespass 1530- no notice. Trespass notice was said to have been emailed to ex boyfriend. NAPD also received a copy. Ex boyfriend is said for failure follow to be wanted in the state of CA to court orders. Trespass notice placed in binder Narrative: Open Fox Nofification: Donald Diaz entered as Missing Person Phone DISTURBANCE SERVICES RENDERED
57,2020-01-02,2763,20-63,12,2020-01-02 11:57:00,,2020-01-02 12:00:57,,2020-01-02 12:10:46,ROAD CONDITIONS,Phone,BUILDING CHECKED/SECURED,"PATROL DAVID JENNINGS, D","36, 30",COLD SPRING ROAD,Narrative: student is trying leave the Superintendent reports a to school grounds. Party is wearing all black walking north on RT.7. Narrative: Student stated teacher was talking about school shooting and she got scared and left. Mom arrived on scene and took staff and they will be speaking with child. Spoke with mom and student. Initiated BUILDING CHECK BUILDING CHECKED/SECURED
58,2020-01-02,2849,20-64,13,2020-01-02 12:31:00,,,2020-01-02 12:31:35,2020-01-02 12:35:28,PARKING CHECK,Phone,SERVICES RENDERED,PATROL TANIA HERNANDEZ,36,GALE ROAD,D
59,2020-01-02,2872,20-65,13,2020-01-02 20:20:00,,,2020-01-02 15:17:28,2020-01-02 15:23:13,TRESPASS,Other,SERVICES RENDERED,PATROL SHUAN N WILLIAM,32,SPRING STREET,Narrative: 01/02/2020 1517 - Start 01/02/2020 1700 violations - no Initiated SERVICES RENDERED
60,2020-01-02,2900,20-66,13,2020-01-02 15:19:00,,,2020-01-02 15:20:48,2020-01-02 15:25:25,PARKING CHECK,Phone,PATROL ADVISED,PATROL JOHN J MCCONNELL JR,38,PARK STREET,/
61,2020-01-02,2920,20-67,13,2020-01-02 15:22:00,2020-01-02 15:26:08,2020-01-02 15:26:29,2020-01-02 15:38:08,2020-01-02 15:58:05,DISTURBANCE,911,INVESTIGATED / REPORT TAKEN,PATROL KALVIN DZIEDZIAK,"32, 38, 38, 38, 32",SABIN DRIVE,"Narrative: CP states he is visiting a friend who is currently engaged boyfriend, in an argument with a past boyfriend. Past is said be actively attempting to break down the to door to enter the home. is a white male and is said to be wearing a plad shirt, approximately 6'4"". No weapons involved 1530- 38,32 attempting to locate involved party operating biack porshce. J oblong Rd. J Oblong 1533- 38 en rout to 1539- At 1541- 38 route to 128 Stratton Rd. en 1540- 32 out on May St [J officers 1555- Contact made with who who will meet at WPD. 1725-9 at station to speak with Officers. Incident: 20-2-OF Refer To"
62,2020-01-02,3063,20-68,13,2020-01-02 17:36:00,,,,2020-01-02 17:37:53,PARKING CHECK,Initiated,SERVICES RENDERED,PATROL SHUAN N WILLIAM,32,SCHOOL STREET,Narrative: 01/02/2020 1737 vioations - no Initiated BUILDING CHECKED/SECURED
63,2020-01-02,3095,20-69,14,2020-01-02 17:40:00,,,2020-01-02 17:40:36,2020-01-02 17:40:43,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL SHUAN N WILLIAM,32,SOUTHWORTH STREET,Narrative: done Narrative: 01/03/2020 0219 Checked S3
64,2020-01-02,3121,20-70,14,2020-01-02 17:53:00,,,2020-01-02 17:53:32,2020-01-02 17:54:56,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL JOHN J MCCONNELL JR,38,NORTH STREET,Narrative: done Narrative: 01/03/2020 0200 Checked $3
65,2020-01-02,3152,20-71,14,2020-01-02 17:58:00,,,,,LARCENY,Phone,SERVICES RENDERED,PATROL KALVIN DZIEDZIAK,,MILL STREET,"Narrative: 1458 receiving anoying phone calls, CP states she has been approximately 20-30, since 1500 hours. CP is unable to read number due to a broken screen but believes the children may belong to (unknown last name, unknown address) who live in town. When asked why she thought it was their childre CP stated its the only children she can think of. Children are said to be 3 and 5 years old. CP advised to call back if calls continue. 1750- CP states the calls from what sounds like young children have not stopped. Children are now begining to call her and harras her. believes of the names CP now one children may be due to the fact that his mother has her number. CP advised to call verizon and have number blocked."
66,2020-01-02,3302,20-73,14,2020-01-02 20:49:00,,,,2020-01-02 20:53:29,MOTOR VEHICLE STOP,Initiated,CITATION - WARNING,PATROL KEVIN P GARNER,34,HANCOCK ROAD,F
67,2020-01-02,3375,20-74,15,2020-01-02 21:22:00,,,2020-01-02 21:22:01,2020-01-02 21:34:03,MOTOR VEHICLE STOP,Initiated,CITATION,PATROL JOHN J MCCONNELL JR,38,WILLIAMSTOWN ROAD,M
68,2020-01-02,3446,20-75,15,2020-01-02 21:37:00,,,,2020-01-02 21:42:59,MOTOR VEHICLE STOP,Initiated,CITATION - WARNING,PATROL KEVIN P GARNER,34,NEW ASHFORD ROAD,F
69,2020-01-02,3517,20-76,15,2020-01-02 21:49:00,,,2020-01-02 21:49:19,2020-01-02 21:56:43,MOTOR VEHICLE STOP,Initiated,CITATION,PATROL JOHN J MCCONNELL JR,38,MAPLE STREET,F
70,2020-01-02,3589,20-78,15,2020-01-02 23:09:00,,2020-01-02 23:11:46,2020-01-02 23:14:44,2020-01-02 23:10:40,DISABLED M V,911,INVESTIGATED / REPORT TAKEN,MICHAEL STRIZZI,"31, 34, 38, 38, 38",HALL STREET,Narrative: Possible heart attack barely breathing. 2316 38 requesting another tone for EMS. Full code. Narrative: 38 requesting CPAC. CPAC notified. Narrative: 38 Requested medical examiner. Medical examiner notified. Narrative: Flynn and Dagnoli contacted. Refer Incident: To 20-3-OF For Date: 01/03/2020 - Friday
71,2020-01-03,3673,20-80,16,2020-01-03 03:56:00,,,,2020-01-03 03:57:13,PARKING CHECK,Initiated,SERVICES RENDERED,PATROL CRAIG A EICHHAMMER,31,SIMONDS ROAD,3
72,2020-01-03,3696,20-82,16,2020-01-03 07:12:00,2020-01-03 14:44:21,,2020-01-03 07:43:57,2020-01-03 14:44:42,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,PATROL TANIA HERNANDEZ,"36, 36, 34, 34",COLD SPRING ROAD,2
73,2020-01-03,3731,20-83,16,2020-01-03 07:40:00,,,2020-01-03 07:41:45,2020-01-03 07:43:17,TRAFFIC COMPLAINT,Initiated,SERVICES RENDERED,PATROL TANIA HERNANDEZ,36,COLD SPRING ROAD,Narrative: RP stopped to state MA 1CBT14 was driving fast and passing from Lanesboro to MGRHS and she confronted driver in cars parking lot. Narrative: Lt Ziemba notified and will call school official and ask them to speak with student.
74,2020-01-03,3819,20-84,16,2020-01-03 07:47:00,2020-01-03 14:47:33,2020-01-03 14:47:38,2020-01-03 14:49:15,2020-01-03 15:13:35,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,PATROL TANIA HERNANDEZ,"36, 34",GALE ROAD,5
75,2020-01-03,3845,20-85,16,2020-01-03 07:59:00,2020-01-03 08:00:48,2020-01-03 08:01:40,2020-01-03 08:04:43,2020-01-03 08:11:04,ANIMAL CONTROL,Phone,REMOVED HAZAR,"PATROL DAVID JENNINGS, D",37k,MANNING STREET,Narrative: CP reports a sick looking fox possibly has rabies. Narrative: Dispatched
76,2020-01-03,3880,20-700,16,2020-01-03 08:00:00,,,,,TRAFFIC COMPLAINT,Phone,LOG ENTRY REQUEST,PATROLMAN MICHAEL J ZIEMBA Jr,,COLD SPRING ROAD,"Narrative: Party reports erractic driving by a student that she confronted in the lot. Advised against same. Provided a registration plate that back to [J of Lanesborough. came VP GM familiar w/ party, will speak to him about his operation."
77,2020-01-03,3942,20-86,17,2020-01-03 08:04:00,,,,,ASSIST OTHER AGENCY,Phone,SERVICES RENDERED,"PATROL DAVID JENNINGS, D",,SIMONDS ROAD,Narrative: Sprinkler testing.
78,2020-01-03,3967,20-87,17,2020-01-03 08:11:00,2020-01-03 15:01:40,2020-01-03 15:04:11,2020-01-03 15:04:45,2020-01-03 15:18:23,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,PATROL TANIA HERNANDEZ,"36, 31",COLE AVENUE,3
79,2020-01-03,3993,20-88,17,2020-01-03 08:19:00,2020-01-03 14:51:37,2020-01-03 14:52:38,2020-01-03 14:56:13,2020-01-03 15:15:38,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,CHIEF KYLE J JOHNSON,"33, 32",CHURCH STREET,8
80,2020-01-03,4022,20-89,17,2020-01-03 08:42:00,,,2020-01-03 08:42:34,2020-01-03 08:43:15,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,FRENIER AVENUE,Narrative: checked Narrative: done Narrative: Checked
81,2020-01-03,4048,20-90,17,2020-01-03 08:43:00,,,2020-01-03 08:43:39,2020-01-03 08:44:21,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,HARWOOD STREET,Narrative: checked Narrative: done Narrative: Checked
82,2020-01-03,4074,20-91,17,2020-01-03 08:51:00,,,,,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,ELM STREET,Narrative: checked Narrative: Checked Area.
83,2020-01-03,4099,20-92,18,2020-01-03 08:54:00,,,2020-01-03 08:54:35,2020-01-03 08:55:17,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,N HOOSAC ROAD,Narrative: checked Narrative: Checked Area.
84,2020-01-03,4125,20-93,18,2020-01-03 08:57:00,,,2020-01-03 08:57:42,2020-01-03 08:59:12,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,N HOOSAC ROAD,Narrative: Checked Narrative: Checked S-4 16:31 Narrative: Checked S-4 19:19 Narrative: Checked Area. Narrative: Checked Area.
85,2020-01-03,4165,20-94,18,2020-01-03 09:29:00,,,2020-01-03 09:29:21,2020-01-03 09:32:36,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL BRAD SACCO,34,HAWTHORNE ROAD,Narrative: Checked S-4 17:27 Narrative: done Narrative: Checked
86,2020-01-03,4193,20-95,18,2020-01-03 09:35:00,2020-01-03 09:42:45,,2020-01-03 09:42:57,2020-01-03 09:46:07,TRAFFIC CONTROL,Initiated,SERVICES RENDERED,PATROL TANIA HERNANDEZ,"36, 36",LONGVIEW TERRACE,Narrative: checked
87,2020-01-03,4225,20-96,19,2020-01-03 09:35:00,,,2020-01-03 09:35:44,2020-01-03 09:35:52,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL BRAD SACCO,34,COLD SPRING ROAD,Narrative: Checked S-4 16:39 Narrative: done Narrative: Checked
88,2020-01-03,4254,20-97,19,2020-01-03 09:39:00,,,2020-01-03 09:39:13,2020-01-03 09:43:20,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL BRAD SACCO,34,COLD SPRING ROAD,0
89,2020-01-03,4277,20-98,19,2020-01-03 09:39:00,,,2020-01-03 09:39:41,2020-01-03 09:40:26,BUILDING CHECK,Other,BUILDING CHECKED/SECURED,PATROL TANIA HERNANDEZ,36,STRATTON ROAD,Narrative: checked Narrative: done Narrative: Checked
