call_number,vehicles_color,vehicles_year,vehicles_model,vehicles_vin
19-752,GRY,2009,TOYT LL SIENNA,5TDZK23C0299254015
19-753,BRO,2015,LEXS RX450H,2T2BC1BA6FC006343
19-753,MAR,2014,CHEV PU BLK,1GCVKSECOEZ198676
19-756,WHI,2013,NISS FRONTI,IN6AD0EVIDN736907
19-757,RED,2012,HOND CRV,506RM4H56CL077391
19-759,PLE,2017,BUIC ENVISI,LRBFXDSA1HD110125
19-759,PLE,2017,BUIC ENVISI,LRBFXDSA1HD110125
19-761,BLU,2006,FORD U ESCAPE,1FMYU93186KA37449
19-765,BLK,2008,AUDI SE A6é,WAUDH74F78N164116
19-784,WHI,2008,GMC TG33,1GDGG31C581911687
19-790,GRY,2013,MAZD CX5,JM3KE4BE0D0151184
19-803,GRY,2015,FORD SE FOCUS,1FADP3E22FL327876
19-857,BLU,2015,NISS CO VERSA,3NICE2CP3FL400720
19-858,BLK,2012,NISS SE SENTRA,3N1CB6AP2CL662131
19-864,BLK,2017,SUBA 4D LEGACY,4S3BNAC69H3068291
19-874,BLU,2012,CHEV LL EQX,2GNFLEEK5C6228975
19-882,BLU,2005,CHRY TOWN,2C4GP44R35R110340
19-895,WHI,2013.,CHEV PK SILVER,IGCRKSE76DZ123564
19-895,WHI,2013,VOLK HB GOLF,WVWBM7AJ9DW085873
19-902,GRY,2016,VOLV XC60,¥V4902RK4G2783083
19-906,GRY,2010,SUBA FOREST,JF2SH6AC7AG741253
19-908,GRY,2005,TOYT 4RUNNE,JTEBUI4R450075671
19-908,ONG,2003,CHEV AVALAN,3GNEK13T13G302724
19-914,RED,2006,SUBA ST IMPREZ,JF1GG68646H811290
19-916,19,JEEP,,
19-917,GRY,2013,NISS SE SENTRA,3N1ABV7AP5DL739685
19-922,SIL,2000,CHEV VN ASTRO,1GKDM1
19-931,GRY,2005,CHEV 4H MAL,1GiZT62895F114886
19-942,BLK,2003,HU2,SGRGN23UX3H112979
19-961,BLU,2009,SUBA FOREST,JF2SH63659H724660
19-964,BLU,2007,HOND CO CIVIC,2HGFG12817H575391
19-976,BLK,2008,HOND CRV,JHLRE48578C082323
19-976,BLK,2004,GMC YUKON,1GKFK66U443239721
19-976,BLK,2008,HOND CRV,JHLRE48578C082323
19-976,BLK,2004,GMC YUKON,1GKFK66U443239721
19-1034,GRY,2004,PONT HB VIBE,5Y2SM628642460655
19-1048,GRY,2007,HOND SE CIVIC,2HGFA155X7H311086
19-1048,GRY,2011,TOYT VN SIENNA 5338,STDKK3DC2BS053324
19-1048,GRY,2011,MAZD 3°,JM1BL1K6XB1407358
19-1048,GRY,2007,HOND SE CIVIC,2HGFA155X7H311086
19-1048,GRY,2011,TOYT VN SIENNA 5338,STDKK3DC2BS053324
19-1048,GRY,2011,MAZD 3°,JM1BL1K6XB1407358
19-1053,BRO,2004,TOYT SE COROLL,JTDBR32E842020581
19-1060,WHI,2005,CHEV SILVER,1GCEC14X652296039
19-1063,GRY,2005,FORD LGTCON,LFTPX14515FB52766
19-1068,GRY,2014,CHEV SILVER,IGCVKRECOEZ349055
19-1072,WHI,2014,SUBA SE LEGACY,4S3BMBC68E3032810
19-1078,GRY,2005,NISS SE ALTIMA,1N4AL11D15N916673
19-1079,GRY,2004,BUIC 4D,
19-1102,WHI,2018,HOND SE ACCORD,LHGCV1F35JA032218
19-1105,GRY,2019,SUBA SE LEGACY,4S3BNAB6XK3005645
19-1105,GRY,2019,SUBA SE LEGACY,4S3BNAB6XK3005645
19-1106,BLK,2026,LEXS RX,2T2BZMCA5GC009265
19-1107,GRY,2012,FORD SE TAURUS,1FAHP2FW2CG104173
19-1113,BLU,2013,NISS MURANO,JNSAZ1MWODW304497
19-1115,GRY,2017,PC CT AS01768 NISS ROGUE S_,JN8AT2MV1LHW283423
19-1116,BLU,2010,SUBA IMPREZ,JF1GH6D67AG810149
19-1118,BLU,2012,TOYT 4D PRIUS,JTDKDTB31Ci030922
19-1119,GRY,2013,SUBA SW OUTBACK.VST/UT,4S4BRCCC3D3324615
19-1120,BLK,2019,LL,WDCOG4KB6KV136814
19-1121,GRY,2016,HOND CRV,5d6RM4H52GL094744
19-1124,BLU,2013,NISS MURANO,JNSAZ1MWODW304497
19-1129,GRY,2011,TOYT SCION,JTKJF5C77B3016621
19-1129,GRY,2011,TOYT SCION,JTKJF5C77B3016621
19-1133,BRO,2009,TOYT PK TACOMA,STEUU42N2
19-1147,RED,2016,TOYT TUNDRA,5TFHYSF17GX576999
19-1152,GRY,2002,HYUN SE SONATA,KMHWF35H22A685796
19-1152,GRY,2002,HYUN SE SONATA,KMHWF35H22A685796
19-1157,BLU,2015,SUBA XVCROS,JF2GPACC1F8237324
19-1160,GRY,2012,MINI HB COOPER,WMWZC5C52CWM13703
19-1161,BRO,2010,TOYT TACOMA,STEUX4EN5A2Z724678
19-1186,GRN.,2002,HOND SE CIVIC,2HGES16172H545103
19-1190,RED,2015,MAZD 4D,JMIBM1LM39F1234762
19-1190,RED,2015,MAZD,JMLBMIM39F1234762
19-1197,WHI,1995,CHEV VN,1GAGG39K8SF166193
19-1197,WHI,1995,CHEV VN,1GAGG39K8SF166193
19-1207,PC,MA,167SF2 VIN: 4S4BP62CX57376987 GRN 2005 SUBA ST LEGACY,4S4BP62CX57376987
19-1208,RED,2018,HOND CIVIC,SHHFK8G78JU200809
19-1209,GRY,2016,TOYT RAV4,JTMBFREV1GJ084916
19-1209,GRY,2016,TOYT RAV4,JTMBFREV1GJ084916
19-3211,RED,2013,HYUN 4D ELA,KMHDH4AE1DU530399
19-1258,WHI,2013,MERZ SE C300,WDDGF8ABXDR245956
19-1283,GRY,2008,HOND SE CIVIC,JHMFA36288S012512
19-1288,GRY,2016,SUBA SE LEGACY,4S3BNAN63G3009006
19-1289,RED,2010,TOYT SE COROLL,1NXBU4EE3A2Z2327748
19-1290,RED,2004,PONT GRM,1G2NF52F74M520189
19-1292,GRY,2007,TOYT SE COROLL,2T1BR32E87C753705
19-1296,GRY,2015,JEEP GRAND,1C4RUFBG2FC604030
19-1334,WHI,2013,TOYT 4D PRIUS,JTDKDTB31D1553441
19-1340,GRY,2016,TOYT U HIGHLANDER,STDIKRFH9GS320456
19-1341.,BLU,2016,FORD F350,1FT8X3B69GEC37908
19-1341.,BLU,2016,FORD F350,1FT8X3B69GEC37908
19-1357,BLU,2012,TOYT SE CAMRY,4T4BFI1FKSCR169841
19-1358,BLK,2002,JEEP LL WRANGLER,1J4FA59SX2P739910
19-1358,BLK,2002,JEEP LL WRANGLER,1J4FA59SX2P739910
19-1363,BLU,2013,CHRY 4D XXX,1C3CCBCG9DN702226
19-1364,GRN,2003,CHEV SILVER,1GCEK19T33E272746
19-1364,RED,2009,HOND 4D CIVIC LX,2HGFA16569H535859
19-1364,GRN,2003,CHEV SILVER,1GCEK19T33E272746
19-1364,RED,2009,HOND 4D CIVIC LX,2HGFA16569H535859
19-1371,ONG,2013,JEEP WRANGL,LC4A0WAG3DL500092
19-1389,BLU,2007,VOLV SE S40,YV1MS382172312937
19-1398,GRY,2007,FORD SE FOCUS,1FAHP34N07W353664
19-1400,GRY,2012,NISS SE VERSA,3N1CN7AP6CL836330
19-1408,BLK,2007,HOND SE CIVIC,2HGFA15547H510375
19-1409,BLK,2015,TOYT HIGHLA,STDBKRFH3FS207721
19-1414,GRY,2001,BUIC SE LESABR,1G64HR54K81U118501
19-1420,WHI,2001,OLDS 4D AUR,163GR62H6141003512
19-1420,SIL,2009,HYUN 4D,SNPET46C59H539137
19-1444,WHI,2013,FORD EXPLOR,1FM5K8F83DGB02476
19-1446,TAN,2016,SUBA CROSSTRE,JF2GPABC6G8325031
19-1450,BRO,2017,KIA SE FORTE,3KPFK4A74HE138179
19-1473,GRN,2006,TOYT SE AVALON,4T1LBK36B36U132860
19-1476,WHI,2009,CHEV SE MALIBU,1G12%357BX94187156
19-1477,GRN,2001,CHEV,1GCHK29U01E152301
19-1477,GRY,2004,PONT GRAND PRIX,2G2WP522941333054
19-1484,GRY,2012,SUBA SE 25I,4S3BMDK63C2011735
19-1503,BLK,2015,NISS JUKE,JN8AFS5MV7FT552273
19-1508,GRY,2018,AUDIT LL Q3,WALJICCFS1JR004961
19-1537.,RED,2017,SUBA 4D FORESTER,JF2SJAEC9HH440344
19-1555,GRN,2006,TOYT HIGHLA,JTEEP21AX60164980
19-1556,BLK,2004,HYUN SE SONATA,KMHWF25S34A094613
19-1557,BLU,2006,TOYT SE AVALON,4T1BK36B86U068170
19-1563,BLU,2003,HOND CO CIVIC,1HGEM22963L060712
19-1565,BLU,2011,HYUN LL ELANTRA,KMHDB8AE6BU107839
19-1570,BLK,2010,HOND CRV,5J6RE4H53AL049865
19-1570,GRY,2004,TOYT SE CAMRY,4T1BE32K44U792240
19-1571,BLU,2006,MAZD SE 3,JM1BK32G661457753
19-1599,SIL,2015,SUBA 2D,JF1VA2P64F9833240
19-1603,GRY,2013,MAZD MAZDA3,JM1BL1LP9D1768557
19-1604,GRN,1994,DODG RAM,3B7HF16Z4RM561177
19-1607,WHI,2008,ISU NPR,4KLB4B1U4879800915
19-1610,GRY,2013,SUBA ST OUTBAC,4S4BRBKC9D3324713
19-1640,WHI,2011,GMC PU SIERRA,1GTR2TEA6BZ390878
19-1640,WHI,2011,GMC PU SIERRA,1GTR2TEA6BZ390878
19-1646,WHI,2007,CHEV,1G1AK55F977149364
19-1661,GRY,2018,NISS 4T,
19-1706,RED,2016,TOYT TACOMA,5TFSXSENOGX046919
19-1706,RED,2016,TOYT TACOMA,5TFSXSENOGX046919
19-1708,BLU,2004,CHEV VENTUR,1GNDU03H14D143512
19-1708,BRO,2002,HOND CRV,SHSRD78852U012592
19-1709,GRY,2014,SUBA XVCROS,JF2GPACC7H8299972
19-1714,GRY,2017,TOYT RAV4,2T3DFREV6HW639810
19-1716,BLK,2011,KIA SORENT,S5XYKT3A14BG167693
19-1719,GRY,2017,INFI QX60,5N1LDLOMM2HC541241
19-1744,GRY,2015,SE CAMRY,4T1BF1FK4FU886097
19-1748,GRY,2000,JEEP GRACHE,104GW58N9YC366926
19-1753,GRY,2008,HYUN SE SONATA,5NPEU46F68H305532
19-1755,GRY,2014,MAZD CXS,JM3KE4DY3E0349203
19-1787,GRY,2000,TOYT SE AVALON,4TIBF28B3YU079026
19-1803,WHI,2017,FORD EXPLOR,1LFM5K8D87HGA65571
19-1813,GRN,1997,CHRY ST TOWN,1C4GP64L8VB447088
19-1823,GRN,2005,SUBA FORESTER,JF1SG67635H734860
19-1830,GRY,2015,MERZ GLK350,WDCGG8JB2FG411824
19-1836,ONG,2013,CHEV 4D XXX,1G10D6SB7D4109346
19-1837,BLU,2018,AUDI HB A7,WAUW3AFC8JN075118
19-1838,RED,2017,NISS ROUGE,SNIAT2MV9HC810164
19-1839,GRY,2006,HOND PK,
19-1841,GRY,2013,NISS 4T,
19-1842,BLU,2006,JEEP LIBERT,174GL48K46W120886
19-1861,GRY,2017,TOYT SE CAMRY,4TLBFIFK8HU645291
19-1862,GRY,2008,HYUN SE ELANTR,KMHDU46D18U333198
19-1869,RED,2005,SUBA FOREST,JF1SG67695H726410
19-1870,GRY,2014,AUDI A4,WALUFAFLEEA065471
19-1871,RED/GRY,1997,CHEV GK1,IGCEK14R9VE205602
19-1877,GRN,2002,FORD LGTCON,1FTRX18WO2NA85011
19-1879,BLU,2016,MAZD LL CX5,JM3KE4DYXG0835932
19-1882,GRY,2003,JEEP LIBERT,1J4GL38KX3W713450
19-1887,BLU,1989,SAA 2H 900,YS3AK35D5K3006821
19-1895,WHI,2017,HOND SE ACCORD,LHGCR2F12HA022491
19-1896,BLU,2007,SU&ZI ST SxX4,JS2YB417675102339
19-1911,BLK,2006,FORD EXPLOR,1FMEU73E16UA11306
19-1920,BLU,2003,HOND SE CIVIC,2HGES25793H548632
19-1924,GRN,2001,TOYT 4T,
19-1924,GRN,2001,TOYT 4T,
19-1929,GRY,2013,SUBA ST IMPREZ,JFLGPAA65DH207466
19-1929,BLK,2015,SUBA FOREST,JF2SJAAC7FH841717
19-1929,GRY,2013,SUBA ST IMPREZ,JFLGPAA65DH207466
19-1929,BLK,2015,SUBA FOREST,JF2SJAAC7FH841717
19-1951,BRO,2007,TOYT SE CAMRY,4T1BE46K37U189199
19-1953,BLK,2013,ACUR U,5J8TB4H55DL015663
19-1957,GRY,2019,SUBA IMPREZ,4S3GTAB62K3703498
19-1963,WHI,2015,JEEP CHEROK,1C4PJMAB1FW529269
19-1969,ONG,2005,HOND ELEMEN,5J6YH28375L000776
19-1975,WHI,2011,FORD TRANTS,NMOLS7BN1BT044225
19-1982,GRN,2007,FORD F150,1FTPX14V47FA78181
19-1983,GRY,2012,ACUR 4T MDX,2HNYD2H47CH546749
19-1985,BLU,2012,HOND RIDGEL,5SFPYKIF5XCB458065
19-2019,WHI,2007,SAA CV 93 & 93B,YS3FD79Y976004421
19-2026,RED,2018,CHEV EQUINO,2GNAXSEV0d96231707
19-2026,RED,2018,CHEV EQUINO,2GNAXSEV0d96231707
19-2028,2017,GMC,SIE,1GT12UEY6HF192988
19-2029,GRN,1999,SUBA ST LEGACY,4S3BG6851X7655566
19-2030,BLK,2009,TOYT TACOMA,5STENX22N69Z596461
19-2031,BLK,2001,TOYT SE CAMRY,4T1BF28K61U115510
19-2031,BLK,2001,TOYT SE CAMRY,4T1BF28K61U115510
19-2032,BLU,2011,BMW 328,WBAUU3C53BA542007
19-2033,WHI,2018,FORD HB,
19-2034,BLK,2013,SUBA IMPREZ,JF1GPAL63D1892301
19-2035,BLU,2003,CHEV S10,1GCDT13XX3K130299
19-2038,BLU,1989,GMC TK,1GTGK24K4KE534057
19-2051,GRY,2006,CADI SE SEVILE,1G6DW677260168630
19-2056,WAI,2015,HOND CRV,5SJ6RM4H52FL059796
19-2062,RED,2014,SUBA FOREST,JF2SJAAC9EH411413
19-2066,BLU,2011,SUBA FOREST,JF2SHADC6BH749208
19-2067,BLU,2005,MAZD MAZDA3,JM1BK343X51314927
19-2067,BLU,2005,MAZD MAZDA3,JM1BK343X51314927
19-2068,GRY,2009,TOYT PK TACOMA,
19-2071,BRO,2008,SUBA TRIBEC,4S4WX92D684414684
19-2073,2018,FORD,SW,1LFMCU9G93JUB48921
19-2075,BLU,2015,GMC TERRAI,2GKFLWEK7F6213238
19-2079,BLK,2006,CHEV EQUINO,2CNDL73F966117489
19-2080,BLU,2009,NISS MURANO,JN8AZ18W09W106312
19-2100,BLU,2017,TOYT TACOMA,3TMDZ5BN2HM031627
19-2103,WHI,2011,FORD F150,IFTFWLET6BFC42986
19-2106,WHI,2010,SUBA LL FORRESTER,JF2SH6CC2AG729928
19-2107,WHI,2019,JEEP CHEROK,1C4PJMDX6KD363585
19-2108,GRY,2017,TOYT HIGHLA,5TDJZRFH8HS371637
19-2108,GRY,2017,TOYT HIGHLA,5TDJZRFH8HS371637
19-2109,WHI,2017,TACOMA,5STFSZS5SAN5HX088892
19-2113,WHI,2018,AUDI ST A4ALLR,WAL8NAF413A031784
19-2114,GRY,2014,HYUN HB,
19-2116,BLK,2017,4D FRT,3KPFK4A70HE144299
19-2118,GRN,2015,SUBA FORESTER,JF2SJADC1FH461672
19-2122,BLU,2005,SAA SE 93,YS3FD49Y651053553
19-2139,RED,2016,2500,3C6UR5SCJ0GG192669
19-2151,BRO,2003,CHRY TOWCOU,2C8GT64L23R343849
19-2153,BLK,2016,LINC LL NAVIGATOR,SLMJI3IT7GELO8493
19-2155,BLK,2013,ACUR U RDX,5J8TB4H55DL015663
19-2155,BLK,2013,FORD F350,1FDRF3H60DEA52166
19-2157,RED,2017,HOND SE CIVIC,2HGFC1F32HH646156
19-2157,RED,2017,HOND SE CIVIC,2HGFC1F32HH646156
19-2158,GRY,2019,MERZ LL XXX,WDCOJ6EB1KF486628
19-2158,,,,
19-2164,WHI,2011,CHEV LL TRV,IGNKVFED3BJ206779
19-2165,GRY,2012,FORD 4D FIE,3FADP4BJ5CM152387
19-2166,WHI,2009,MAZD LL MZ5,JM1CR29LX90342337
19-2185,GRY,2016,HYUN SE ELANTR,KMHDH4AE7GU579515
19-2185,GRY,2016,HYUN SE ELANTR,KMHDH4AE7GU579515
19-2206,GRY,2015,HOND SE CIVIC,19XFB2F72FE284252
19-2206,GRY,2015,HOND SE CIVIC,19XFB2F72FE284252
19-2209,GRY,2007,SAA SE 93,YS3FH46U671100573
19-2215,GRY,2017,SUBA FOREST,JF2SJAWC2HH444797
19-2215,GRY,2017,SUBA FOREST,JF2SJAWC2HH444797
19-2219,WHI,2004,GMC SIERRA,i1GTGK23U54F190917
19-2225,BLU,2002,CHEV SILVER,1GCHK23U02F193273
19-2243,Disp-14:40:39,Enrt-14:41:04,,
19-2248,RED,2019,GMC PK SIERRA,1GTPSEELOKZ210813
19-2248,RED,2019,GMC PK SIERRA,1GTPSEELOKZ210813
19-2252,BLU,2009,FORD F350,IFTWW31589EA90020
19-2267,GRY,2013,CHEV SILVER,ILGCNKSE05DZ254874
19-2277,GRY,2013,MERZ SE C300,WDDGFP8AB7DR257420
19-2277,GRY,2013,MERZ SE C300,WDDGFP8AB7DR257420
19-2282,RED,2010,TOYT PRIUS,JTDKN3DUSA0022327
19-2285,GRY,2014,AUDI Q7,WALLMAFE9ED004973
19-2297,BLK,2006,TOYT 4D COROLLA,JTDBR32E160091099
19-2305,BLU,2004,CHEV VN VENTUR,LGNDX03E14D118407
19-2307,BLU,2013,NISS MURANO,JNSAZ1MWODW304497
19-2326,BLU,2004,JEEP LIBERT,1J4GL48K64W189639
19-2345,BLK,1999,HOND 4D CIVIC,LHGEJ6573XL012424
19-2358,GRY,2001,TOYT TACOMA,5TEWN72N41Z853435
19-2372,WHI,2017,FORD LL EXPEDITION,LFMJULUTIHEA80362
19-2372,WHI,2017,FORD LL EXPEDITION,LFMJULUTIHEA80362
19-2395,GRN,2005,SAA CO 93,YS3FD79¥256005570
19-2421,BLK,1998,JEEP GRACHE,1J4GZ58S6WC210689
19-2421,BLK,1998,JEEP GRACHE,1J4GZ58S6WC210689
19-2424,BLU,2014,CHEV SE SONIC,1G170CSSH5E4167586
19-2434,BLU,2013,HYUN SE ELANTR,KMHD35LE3DU133326
19-2472,WHI,2012,,1FINS2EW8CDB17928
19-2472,BLK,2017,SUBA 4D IMPREZA,4S3GTAB67H3700833
19-2507,RED,2008,PONT 2D G5,1G2AL18F787182281
19-2520,BLU,2015,,1M2AU02C7FM009131
19-2520,BLU,2015,,1M2AU02C7FM009131
19-2526,GRY,2017,TOYT SE YARISI,3MYDLBYV2HY149131
19-2534,BLK,2005,JEEP U CHEROKEE,1J8GR48KX5C539774
19-2535,GRY,2007,SUBA ST IMPREZ,JF1GG74657H817435
19-2537,BLU,1999,JEEP WRANGL,1J4FY19S4XP465471
19-2541,RED,2015,,JN8ASSMV7FW765587
19-2541,WHI,2011,LEXS U R35,2T2BK1BA6BC087566
19-2543,BLU,2017,SUBA SE LEGACY,4S3BNAC65H3022070
19-2543,BLU,2013,CHEV SONTC,1G10C6SG7D4116330
19-2552,WHE,2017,VOLV ST XC90,YV4A22PL8H1176517
19-2552,WHE,2017,VOLV ST XC90,YV4A22PL8H1176517
